ISO_Year,ISO_Week,ISO_Week_Start_Date,LandingPage_Group,Channel_Group,Device_Group,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count
2023,28,2023-07-10,.Property,Direct,MOBILE,5,26,550,774,1544,0,0
2023,28,2023-07-10,.Property,Direct,NON-MOBILE,19,40,600,952,1783,0,0
2023,28,2023-07-10,.Property,Other,MOBILE,0,2,46,50,101,0,0
2023,28,2023-07-10,.Property,Other,NON-MOBILE,0,2,120,267,507,0,0
2023,28,2023-07-10,.Property,Paid,MOBILE,2,10,343,455,1153,0,0
2023,28,2023-07-10,.Property,Paid,NON-MOBILE,12,23,743,946,1571,0,0
2023,28,2023-07-10,.Property,SEO,MOBILE,1,5,141,250,571,0,0
2023,28,2023-07-10,.Property,SEO,NON-MOBILE,15,26,653,936,1655,0,0
2023,28,2023-07-10,.Property,Undefined,MOBILE,1,1,15,18,22,0,0
2023,28,2023-07-10,.Property,Undefined,NON-MOBILE,0,1,47,67,106,0,0
2023,29,2023-07-17,./corporate/,Direct,MOBILE,0,0,3,10,7,0,0
2023,29,2023-07-17,./corporate/,Direct,NON-MOBILE,0,0,0,4,5,0,0
2023,29,2023-07-17,./corporate/,Other,NON-MOBILE,2,4,3,0,8,0,0
2023,29,2023-07-17,./corporate/,Paid,NON-MOBILE,0,0,0,3,2,0,0
2023,29,2023-07-17,./corporate/,SEO,MOBILE,1,7,95,49,107,0,0
2023,29,2023-07-17,./corporate/,SEO,NON-MOBILE,2,9,82,71,164,0,0
2023,29,2023-07-17,./corporate/,Undefined,NON-MOBILE,0,0,2,0,4,0,0
2023,29,2023-07-17,./housing/,Direct,MOBILE,5,20,97,159,307,0,0
2023,29,2023-07-17,./housing/,Direct,NON-MOBILE,8,20,146,229,421,0,0
2023,29,2023-07-17,./housing/,Other,MOBILE,0,1,9,18,10,0,0
2023,29,2023-07-17,./housing/,Other,NON-MOBILE,1,2,15,107,132,0,0
2023,29,2023-07-17,./housing/,Paid,MOBILE,3,14,120,180,289,0,0
2023,29,2023-07-17,./housing/,Paid,NON-MOBILE,10,26,204,238,408,0,0
2023,29,2023-07-17,./housing/,SEO,MOBILE,7,35,113,158,267,0,0
2023,29,2023-07-17,./housing/,SEO,NON-MOBILE,15,61,266,282,585,0,0
2023,29,2023-07-17,./housing/,Undefined,MOBILE,0,0,8,23,33,0,0
2023,29,2023-07-17,./housing/,Undefined,NON-MOBILE,2,3,7,4,24,0,0
2023,29,2023-07-17,./members/,Direct,MOBILE,54,160,163,260,524,0,0
2023,29,2023-07-17,./members/,Direct,NON-MOBILE,145,273,327,521,771,0,0
2023,29,2023-07-17,./members/,Other,MOBILE,1,2,12,19,56,0,0
2023,29,2023-07-17,./members/,Other,NON-MOBILE,20,26,20,184,138,0,0
2023,29,2023-07-17,./members/,Paid,MOBILE,21,36,111,241,281,0,0
2023,29,2023-07-17,./members/,Paid,NON-MOBILE,75,123,256,564,754,0,0
2023,29,2023-07-17,./members/,SEO,MOBILE,3,10,111,172,232,0,0
2023,29,2023-07-17,./members/,SEO,NON-MOBILE,84,163,264,595,860,0,0
2023,29,2023-07-17,./members/,Undefined,MOBILE,2,10,9,7,12,0,0
2023,29,2023-07-17,./members/,Undefined,NON-MOBILE,8,14,20,52,53,0,0
2023,29,2023-07-17,.Home,Direct,MOBILE,177,556,568,778,1246,0,0
2023,29,2023-07-17,.Home,Direct,NON-MOBILE,348,692,882,1345,2197,0,0
2023,29,2023-07-17,.Home,Other,MOBILE,5,49,56,69,132,0,0
2023,29,2023-07-17,.Home,Other,NON-MOBILE,27,61,43,379,346,0,0
2023,29,2023-07-17,.Home,Paid,MOBILE,104,451,885,972,1620,0,0
2023,29,2023-07-17,.Home,Paid,NON-MOBILE,321,802,1299,1892,2689,0,0
2023,29,2023-07-17,.Home,SEO,MOBILE,34,178,306,411,712,0,0
2023,29,2023-07-17,.Home,SEO,NON-MOBILE,261,661,1018,1532,2267,0,0
2023,29,2023-07-17,.Home,Undefined,MOBILE,0,6,28,7,37,0,0
2023,29,2023-07-17,.Home,Undefined,NON-MOBILE,0,2,14,14,18,0,0
2023,29,2023-07-17,.LYP,Direct,MOBILE,238,718,15,4,11,0,0
2023,29,2023-07-17,.LYP,Direct,NON-MOBILE,193,389,0,0,17,0,0
2023,29,2023-07-17,.LYP,Other,MOBILE,2,61,0,0,0,0,0
2023,29,2023-07-17,.LYP,Other,NON-MOBILE,11,24,1,0,0,0,0
2023,29,2023-07-17,.LYP,Paid,MOBILE,44,119,2,4,11,0,0
2023,29,2023-07-17,.LYP,Paid,NON-MOBILE,73,154,3,2,16,0,0
2023,29,2023-07-17,.LYP,SEO,MOBILE,26,76,0,1,3,0,0
2023,29,2023-07-17,.LYP,SEO,NON-MOBILE,47,113,2,1,12,0,0
2023,29,2023-07-17,.LYP,Undefined,MOBILE,14,39,0,0,1,0,0
2023,29,2023-07-17,.LYP,Undefined,NON-MOBILE,4,7,0,0,0,0,0
2023,29,2023-07-17,.Other,Direct,MOBILE,42,161,68,65,128,0,0
2023,29,2023-07-17,.Other,Direct,NON-MOBILE,68,167,130,170,291,0,0
2023,29,2023-07-17,.Other,Other,MOBILE,2,17,3,2,7,0,0
2023,29,2023-07-17,.Other,Other,NON-MOBILE,7,18,9,51,98,0,0
2023,29,2023-07-17,.Other,Paid,MOBILE,61,344,111,143,243,0,0
2023,29,2023-07-17,.Other,Paid,NON-MOBILE,102,292,185,333,424,0,0
2023,29,2023-07-17,.Other,SEO,MOBILE,19,71,14,52,70,0,0
2023,29,2023-07-17,.Other,SEO,NON-MOBILE,96,275,181,278,415,0,0
2023,29,2023-07-17,.Other,Undefined,MOBILE,6,20,3,4,12,0,0
2023,29,2023-07-17,.Other,Undefined,NON-MOBILE,2,11,10,11,39,0,0
