Brand Name,Category,Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
Furnished Finder,Brand,2024-02-27,hometogo.com,< 10%,2.98,45.49,61.63,5.67,66.22
Furnished Finder,Brand,2024-02-27,favoes.com,10.22,14.76,20.26,98.41,15.12,65.13
Furnished Finder,Brand,2024-02-23,You,72.18, --, --,93.0,68.94, --
Furnished Finder,Brand,2024-02-23,airbnb.com,18.9,12.4,57.69,85.79,35.01,67.02
Furnished Finder,Brand,2024-02-23,hellolanding.com,< 10%,7.66,58.65,89.22,48.38,68.93
Furnished Finder,Brand,2024-02-27,You,67.13, --, --,93.9,68.07, --
Furnished Finder,Brand,2024-02-27,airbnb.com,29.07,22.01,61.81,90.7,44.96,58.0
Furnished Finder,Brand,2024-02-27,hellolanding.com,11.51,9.15,52.83,89.25,46.44,63.89
Furnished Finder,Brand,2024-02-16,apartmentlist.com,< 10%,7.76,41.02,95.2,26.2,77.45
Furnished Finder,Brand,2024-02-16,hometogo.com,< 10%,2.09,29.63,59.84,5.68,79.5
Furnished Finder,Brand,2024-02-16,favoes.com,24.09,28.98,22.08,98.8,17.3,74.88
Furnished Finder,Brand,2024-02-21,apartmentlist.com,< 10%,4.05,43.19,95.41,23.39,50.9
Furnished Finder,Brand,2024-02-21,hometogo.com,< 10%,1.84,44.33,58.79,6.8,51.38
Furnished Finder,Brand,2024-02-21,favoes.com,21.47,26.85,33.22,99.04,26.2,47.19
Furnished Finder,Brand,2024-02-16,You,80.0, --, --,95.8,66.04, --
Furnished Finder,Brand,2024-02-16,airbnb.com,18.59,17.06,54.28,91.82,41.34,72.59
Furnished Finder,Brand,2024-02-16,hellolanding.com,14.03,14.33,53.9,93.82,45.27,73.82
Furnished Finder,Brand,2024-02-21,You,51.81, --, --,94.46,66.2, --
Furnished Finder,Brand,2024-02-21,airbnb.com,18.13,13.98,54.49,89.97,38.91,47.86
Furnished Finder,Brand,2024-02-21,hellolanding.com,10.78,9.75,54.29,91.22,44.93,49.06
Furnished Finder,Brand,2024-02-17,apartmentlist.com,17.22,13.61,51.38,95.23,33.83,69.34
Furnished Finder,Brand,2024-02-17,hometogo.com,< 10%,2.01,42.17,54.94,5.78,73.92
Furnished Finder,Brand,2024-02-17,favoes.com,23.95,31.14,26.95,98.99,21.87,68.3
Furnished Finder,Brand,2024-02-22,apartmentlist.com,< 10%,6.44,41.51,94.8,21.18,33.15
Furnished Finder,Brand,2024-02-22,hometogo.com,< 10%,2.68,45.25,62.1,7.78,33.65
Furnished Finder,Brand,2024-02-22,favoes.com,< 10%,7.63,43.79,99.18,36.43,32.93
Furnished Finder,Brand,2024-02-24,apartmentlist.com,10.53,6.22,54.99,95.13,25.59,62.73
Furnished Finder,Brand,2024-02-24,hometogo.com,< 10%,3.23,48.77,56.14,6.77,63.93
Furnished Finder,Brand,2024-02-24,favoes.com,< 10%,7.29,22.38,98.16,16.78,63.89
Furnished Finder,Brand,2024-02-17,You,74.55, --, --,93.07,58.44, --
Furnished Finder,Brand,2024-02-17,airbnb.com,25.0,20.48,57.99,90.21,38.37,65.7
Furnished Finder,Brand,2024-02-17,hellolanding.com,17.72,16.52,56.51,92.6,44.81,67.59
Furnished Finder,Brand,2024-02-26,apartmentlist.com,< 10%,5.24,51.09,93.66,26.35,64.75
Furnished Finder,Brand,2024-02-26,hometogo.com,< 10%,3.24,43.89,61.41,7.73,65.58
Furnished Finder,Brand,2024-02-26,favoes.com,12.35,17.83,25.93,98.26,19.67,63.45
Furnished Finder,Brand,2024-02-22,You,34.06, --, --,93.77,71.37, --
Furnished Finder,Brand,2024-02-22,airbnb.com,20.84,15.58,53.86,88.71,38.86,31.21
Furnished Finder,Brand,2024-02-22,hellolanding.com,11.89,10.37,53.75,91.3,46.94,32.17
Furnished Finder,Brand,2024-02-24,You,64.95, --, --,91.9,72.52, --
Furnished Finder,Brand,2024-02-24,airbnb.com,26.75,17.77,62.79,88.05,42.23,57.71
Furnished Finder,Brand,2024-02-24,hellolanding.com,10.59,8.18,55.47,88.59,44.84,62.01
Furnished Finder,Brand,2024-02-26,You,66.53, --, --,93.8,68.67, --
Furnished Finder,Brand,2024-02-26,airbnb.com,25.2,17.89,60.53,89.51,41.34,59.32
Furnished Finder,Brand,2024-02-26,hellolanding.com,10.26,8.18,56.6,89.12,45.58,63.45
Furnished Finder,Brand,2024-02-18,apartmentlist.com,14.09,11.16,47.78,96.32,36.06,69.32
