Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20240720,google,cpc,Display - Prospecting,desktop,0,0,0,0,10,0,0,0,0,2,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240720,google,cpc,Display - Prospecting,mobile,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240721,google,cpc,Display - Prospecting,desktop,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240721,google,cpc,Display - Prospecting,mobile,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240721,google,cpc,Display - Prospecting,tablet,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240722,google,cpc,Display - Prospecting,desktop,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240722,google,cpc,Display - Prospecting,mobile,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240723,google,cpc,Display - Prospecting,desktop,0,0,0,0,44,0,0,0,1,4,0,0.0,0,0.0,5,10,0,Paid Social + Display
20240723,google,cpc,Display - Prospecting,mobile,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240724,google,cpc,Display - Prospecting,desktop,0,0,0,0,40,0,0,0,2,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240724,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240725,google,cpc,Display - Prospecting,desktop,0,0,0,0,46,0,0,0,2,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240725,google,cpc,Display - Prospecting,mobile,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240725,google,cpc,Display - Prospecting,tablet,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240726,google,cpc,Display - Prospecting,desktop,0,0,0,0,82,0,0,0,6,0,0,0.0,0,0.0,6,12,0,Paid Social + Display
20240726,google,cpc,Display - Prospecting,mobile,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240727,google,cpc,Display - Prospecting,desktop,0,0,0,0,55,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240727,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240728,google,cpc,Display - Prospecting,desktop,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
